Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

16.07475086	0.26851620	-7.60519200
16.07679886	0.26851620	-7.60519200
16.07884686	0.27642100	-7.60519200
16.08089486	0.26851620	-7.60519200
16.08294286	0.26851620	-7.60519200
16.08499086	0.26851620	-7.60519200
16.08703886	0.26851620	-7.60519200
16.08908686	0.27642100	-7.60519200
16.09113486	0.26851620	-7.60519200
16.09318286	0.26851620	-7.60519200
16.09523086	0.26851620	-7.60519200
16.09727886	0.26851620	-7.60519200
16.09932686	0.26851620	-7.60519200
16.10137486	0.27642100	-7.60519200
16.10342286	0.26851620	-7.60519200
16.10547086	0.26851620	-7.60519200
16.10751886	0.26851620	-7.60519200
16.10956686	0.26851620	-7.60519200
16.11161486	0.26851620	-7.60519200
16.11366286	0.26851620	-7.60519200
16.11571086	0.26851620	-7.60519200
16.11775886	0.26851620	-7.60519200
16.11980686	0.26851620	-7.60519200
16.12185486	0.26851620	-7.60519200
16.12390286	0.26851620	-7.60519200
16.12595086	0.26851620	-7.60519200
16.12799886	0.26851620	-7.60519200
16.13004686	0.26851620	-7.60519200
16.13209486	0.26851620	-7.60519200
16.13414286	0.26851620	-7.60519200
16.13619086	0.26851620	-7.60519200
16.13823886	0.26851620	-7.60519200
16.14028686	0.26851620	-7.60519200
16.14233486	0.26851620	-7.60519200
16.14438286	0.26851620	-7.60519200
16.14643086	0.26851620	-7.60519200
16.14847886	0.26851620	-7.60519200
16.15052686	0.26851620	-7.60519200
16.15257486	0.26851620	-7.60519200
16.15462286	0.26851620	-7.60519200
16.15667086	0.26851620	-7.60519200
16.15871886	0.26851620	-7.60519200
16.16076686	0.26851620	-7.60519200
16.16281486	0.26851620	-7.60519200
16.16486286	0.26851620	-7.60519200
16.16691086	0.26851620	-7.60519200
16.16895886	0.26851620	-7.60519200
16.17100686	0.26851620	-7.60519200
16.17305486	0.26851620	-7.60519200
16.17510286	0.26061150	-7.60519200
16.17715086	0.26851620	-7.60519200
16.17919886	0.26851620	-7.60519200
16.18124686	0.26851620	-7.60519200
16.18329486	0.26851620	-7.60519200
16.18534286	0.26851620	-7.60519200
16.18739086	0.26061150	-7.60519200
16.18943886	0.26851620	-7.60519200
16.19148686	0.26851620	-7.60519200
16.19353486	0.26851620	-7.60519200
16.19558286	0.26061150	-7.60519200
16.19763086	0.26061150	-7.60519200
16.19967886	0.26851620	-7.60519200
16.20172686	0.26851620	-7.60519200
16.20377486	0.26061150	-7.60519200
16.20582286	0.26061150	-7.60519200
16.20787086	0.26061150	-7.60519200
16.20991886	0.26851620	-7.60519200
16.21196686	0.26851620	-7.60519200
16.21401486	0.26061150	-7.60519200
16.21606286	0.26061150	-7.60519200
16.21811086	0.26061150	-7.60519200
16.22015886	0.26061150	-7.60519200
16.22220686	0.26061150	-7.60519200
16.22425486	0.26061150	-7.60519200
16.22630286	0.26851620	-7.60519200
16.22835086	0.26851620	-7.60519200
16.23039886	0.26061150	-7.60519200
16.23244686	0.26851620	-7.60519200
16.23449486	0.26061150	-7.60519200
16.23654286	0.26061150	-7.60519200
16.23859086	0.26061150	-7.60519200
16.24063886	0.26851620	-7.60519200
16.24268686	0.26061150	-7.60519200
16.24473486	0.26061150	-7.60519200
16.24678286	0.26851620	-7.60519200
16.24883086	0.26061150	-7.60519200
16.25087886	0.26061150	-7.60519200
16.25292686	0.26061150	-7.60519200
16.25497486	0.26061150	-7.60519200
16.25702286	0.26061150	-7.60519200
16.25907086	0.26061150	-7.60519200
16.26111886	0.26061150	-7.60519200
16.26316686	0.26061150	-7.60519200
16.26521486	0.26061150	-7.60519200
16.26726286	0.26061150	-7.60519200
16.26931086	0.26061150	-7.60519200
16.27135886	0.26851620	-7.60519200
16.27340686	0.26061150	-7.60519200
16.27545486	0.26061150	-7.60519200
16.27750286	0.26061150	-7.60519200
16.27955086	0.26061150	-7.60519200
16.28159886	0.26061150	-7.60519200
16.28364686	0.26061150	-7.60519200
16.28569486	0.26061150	-7.60519200
16.28774286	0.26061150	-7.60519200
16.28979086	0.26061150	-7.60519200
16.29183886	0.26061150	-7.60519200
16.29388686	0.26061150	-7.60519200
16.29593486	0.26061150	-7.60519200
16.29798286	0.26061150	-7.60519200
16.30003086	0.26061150	-7.60519200
16.30207886	0.26061150	-7.60519200
16.30412686	0.26061150	-7.60519200
16.30617486	0.26061150	-7.60519200
16.30822286	0.26061150	-7.60519200
16.31027086	0.26061150	-7.60519200
16.31231886	0.26061150	-7.60519200
16.31436686	0.26061150	-7.60519200
16.31641486	0.26061150	-7.60519200
16.31846286	0.26061150	-7.60519200
16.32051086	0.26061150	-7.60519200
16.32255886	0.25270670	-7.60519200
16.32460686	0.26061150	-7.60519200
16.32665486	0.26061150	-7.60519200
16.32870286	0.26061150	-7.60519200
16.33075086	0.26061150	-7.60519200
16.33279886	0.25270670	-7.60519200
16.33484686	0.26061150	-7.60519200
16.33689486	0.26061150	-7.60519200
16.33894286	0.26851620	-7.60519200
16.34099086	0.26061150	-7.60519200
16.34303886	0.26061150	-7.60519200
16.34508686	0.26061150	-7.60519200
16.34713486	0.26061150	-7.60519200
16.34918286	0.25270670	-7.60519200
16.35123086	0.26061150	-7.60519200
16.35327886	0.26061150	-7.60519200
16.35532686	0.26061150	-7.60519200
16.35737486	0.25270670	-7.60519200
16.35942286	0.26061150	-7.44648100
16.36147086	0.26061150	-7.44648100
16.36351886	0.25270670	-7.60519200
16.36556686	0.26061150	-7.44648100
16.36761486	0.26061150	-7.60519200
16.36966286	0.25270670	-7.44648100
16.37171086	0.25270670	-7.44648100
16.37375886	0.26061150	-7.44648100
16.37580686	0.25270670	-7.60519200
16.37785486	0.25270670	-7.44648100
16.37990286	0.25270670	-7.44648100
16.38195086	0.26061150	-7.44648100
16.38399886	0.26061150	-7.44648100
16.38604686	0.25270670	-7.44648100
16.38809486	0.26061150	-7.44648100
16.39014286	0.25270670	-7.44648100
16.39219086	0.26061150	-7.44648100
16.39423886	0.25270670	-7.44648100
16.39628686	0.26061150	-7.44648100
16.39833486	0.25270670	-7.44648100
16.40038286	0.25270670	-7.44648100
16.40243086	0.25270670	-7.44648100
16.40447886	0.25270670	-7.44648100
16.40652686	0.25270670	-7.44648100
16.40857485	0.25270670	-7.44648100
16.41062285	0.25270670	-7.44648100
16.41267085	0.25270670	-7.44648100
16.41471885	0.25270670	-7.44648100
16.41676685	0.25270670	-7.44648100
16.41881485	0.25270670	-7.44648100
16.42086285	0.25270670	-7.44648100
